id_usuario,fechas_de_nacimiento,ciudad,nivel_educativo,Sueldo
98258,1986-01-30 05:00:00,Santiago,Profesional - Licenciatura,290956
98259,1973-10-16 05:00:00,Santiago,Especializacion - Postgrado,337095
98260,1989-05-08 05:00:00,Santiago,Profesional - Licenciatura,278192
98261,1990-01-18 05:00:00,Santiago,Tecnico Universitario,279184
98262,1993-10-20 05:00:00,Santiago,Profesional - Licenciatura,80249
98263,1978-05-18 05:00:00,Santiago,Profesional - Licenciatura,268895
98265,1982-12-03 05:00:00,Santiago,Profesional - Licenciatura,301652
98268,1990-10-12 05:00:00,Santiago,Tecnico Universitario,275251
98269,1984-01-04 05:00:00,Santiago,Profesional - Licenciatura,147292
98270,1969-05-15 05:00:00,Santiago,Profesional - Licenciatura,314649
98271,1994-02-18 05:00:00,Santiago,Especializacion - Postgrado,132113
98273,1984-04-13 05:00:00,Santiago,Profesional - Licenciatura,222011
98274,1991-02-02 05:00:00,Santiago,Tecnico Universitario,224590
98275,1978-05-19 05:00:00,Santiago,Especializacion - Postgrado,229767
98276,1981-08-16 05:00:00,Santiago,Especializacion - Postgrado,253762
98278,1982-02-27 05:00:00,Santiago,Maestria,68571
98279,1992-11-06 05:00:00,Santiago,Profesional - Licenciatura,128264
98280,1983-05-19 05:00:00,Santiago,Profesional - Licenciatura,204889
98281,1994-07-25 05:00:00,Santiago,Profesional - Licenciatura,312365
98282,1970-08-11 05:00:00,Santiago,Tecnico Universitario,269326
98283,1985-05-30 05:00:00,Santiago,Maestria,170199
98284,1985-08-19 05:00:00,Santiago,Profesional - Licenciatura,302143
98285,1983-05-25 05:00:00,Santiago,Especializacion - Postgrado,101071
98286,1987-09-02 05:00:00,Santiago,Profesional - Licenciatura,152329
98287,1981-12-25 05:00:00,Santiago,Profesional - Licenciatura,210578
98289,1988-03-15 05:00:00,Santiago,Tecnico Universitario,292090
98290,1989-08-18 05:00:00,Santiago,Profesional - Licenciatura,224169
98291,1991-06-20 05:00:00,Santiago,Profesional - Licenciatura,222105
98292,1984-01-21 05:00:00,Santiago,Profesional - Licenciatura,230356
98293,1980-03-03 05:00:00,Santiago,Profesional - Licenciatura,176492
98295,1996-03-20 05:00:00,Santiago,Profesional - Licenciatura,231591
98297,1986-10-10 05:00:00,Santiago,Profesional - Licenciatura,86243
98298,1984-06-09 05:00:00,Santiago,Profesional - Licenciatura,161500
98299,1984-12-28 05:00:00,Santiago,Especializacion - Postgrado,96681
98300,1982-09-06 05:00:00,Santiago,Profesional - Licenciatura,179487
98301,1982-11-25 05:00:00,Santiago,Profesional - Licenciatura,106503
98302,1985-03-11 05:00:00,Santiago,Profesional - Licenciatura,69139
98304,1989-02-10 05:00:00,Santiago,Profesional - Licenciatura,328646
98305,1994-06-09 05:00:00,Santiago,Especializacion - Postgrado,254630
98306,1985-03-22 05:00:00,Santiago,Profesional - Licenciatura,72717
98307,1983-10-14 05:00:00,Santiago,Profesional - Licenciatura,276130
98308,1986-06-14 05:00:00,Santiago,Profesional - Licenciatura,114095
98309,1986-12-28 05:00:00,Santiago,Tecnico Universitario,93249
98310,1962-02-03 05:00:00,Santiago,Tecnico Universitario,296806
98311,1989-05-31 05:00:00,Santiago,Profesional - Licenciatura,218871
98312,1992-10-29 05:00:00,Santiago,Especializacion - Postgrado,344178
98313,1976-11-19 05:00:00,Santiago,Maestria,138487
98314,1985-03-27 05:00:00,Santiago,Tecnico Universitario,75465
98316,1988-12-06 05:00:00,Santiago,Profesional - Licenciatura,83019
98317,1971-11-20 05:00:00,Santiago,Profesional - Licenciatura,237953
98319,1987-12-17 05:00:00,Santiago,Profesional - Licenciatura,82193
98321,1982-05-11 05:00:00,Santiago,Profesional - Licenciatura,324696
98322,1993-04-19 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,80599
98323,1975-02-25 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,158502
98324,1987-05-27 05:00:00,Santiago,Especializacion - Postgrado,79825
98325,1979-08-13 05:00:00,Santiago,Especializacion - Postgrado,254661
98326,1986-06-23 05:00:00,Santiago,Profesional - Licenciatura,303253
98327,1991-08-25 05:00:00,Santiago,Profesional - Licenciatura,345654
98328,1984-05-08 05:00:00,Santiago,Especializacion - Postgrado,320586
98329,1980-08-24 05:00:00,Santiago,Tecnico Universitario,289418
98330,1988-05-25 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,98022
98331,1993-10-20 05:00:00,Santiago,Profesional - Licenciatura,191342
98332,1994-11-03 05:00:00,Santiago,Profesional - Licenciatura,177427
98334,1986-11-10 05:00:00,Santiago,Especializacion - Postgrado,298262
98335,1990-06-01 05:00:00,Santiago,Profesional - Licenciatura,221416
98337,1985-09-29 05:00:00,Santiago,Profesional - Licenciatura,102261
98338,1983-05-22 05:00:00,Santiago,Profesional - Licenciatura,326445
98339,1968-10-09 05:00:00,Santiago,Profesional - Licenciatura,279884
98340,1980-12-01 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,341747
98341,1990-12-26 05:00:00,Santiago,Profesional - Licenciatura,227644
98342,1984-06-25 05:00:00,Santiago,Especializacion - Postgrado,252993
98343,1988-06-16 05:00:00,Santiago,Profesional - Licenciatura,72851
98344,1990-03-18 05:00:00,Santiago,Profesional - Licenciatura,250684
98346,2020-01-18 05:00:00,Santiago,Profesional - Licenciatura,225396
98347,1977-10-28 05:00:00,Santiago,Profesional - Licenciatura,107353
98349,1982-01-02 05:00:00,Santiago,Profesional - Licenciatura,226647
98350,1975-10-28 05:00:00,Santiago,Profesional - Licenciatura,300964
98351,1986-03-20 05:00:00,Santiago,Profesional - Licenciatura,150163
98352,1974-01-04 05:00:00,Santiago,Profesional - Licenciatura,226828
98353,1992-07-10 05:00:00,Santiago,Profesional - Licenciatura,293069
98354,1987-01-13 05:00:00,Santiago,Especializacion - Postgrado,264150
98355,1977-05-20 05:00:00,Santiago,Profesional - Licenciatura,84371
98356,1991-01-24 05:00:00,Santiago,Profesional - Licenciatura,297293
98357,1971-01-27 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,78507
98360,1976-09-03 05:00:00,Santiago,Maestria,102172
98361,1988-03-16 05:00:00,Santiago,Profesional - Licenciatura,306201
98362,1977-07-13 05:00:00,Santiago,Tecnico Universitario,205590
98363,1978-12-26 05:00:00,Santiago,Profesional - Licenciatura,173196
98364,1991-07-13 05:00:00,Santiago,Profesional - Licenciatura,330887
98365,1987-03-03 05:00:00,Santiago,Profesional - Licenciatura,285588
98366,1984-10-24 05:00:00,Santiago,Especializacion - Postgrado,285972
98367,1983-01-29 05:00:00,Santiago,Especializacion - Postgrado,278366
98368,1986-07-30 05:00:00,Santiago,Profesional - Licenciatura,223538
98369,1977-09-21 05:00:00,Santiago,Maestria,289981
98370,1977-11-09 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,346493
98371,1993-10-28 05:00:00,Santiago,Profesional - Licenciatura,106063
98372,1986-04-14 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,84293
98373,1974-12-27 05:00:00,Santiago,Profesional - Licenciatura,239842
98374,1973-02-16 05:00:00,Santiago,Tecnico - Preparatoria - T. Profesional,319551
98375,1975-01-11 05:00:00,Santiago,Profesional - Licenciatura,330113
